row_mod,text,conll_03,text,xlmr_output,domain,format,is_match,mention_level,error_type,illegal_flag,comment,repeated issue,,lingering = not fixed by CoNLL++ or ReCoNLL,
90,1330,O,1330,O,SPORTS,HYBRID,Yes,,,,,,,,
91,,,,,SPORTS,HYBRID,Yes,,,,,,,,
92,Not,O,Not,O,SPORTS,HYBRID,Yes,,,,,,,,
93,exactly,O,exactly,O,SPORTS,HYBRID,Yes,,,,,,,,
94,a,O,a,O,SPORTS,HYBRID,Yes,,,,,,,,
95,clash,O,clash,O,SPORTS,HYBRID,Yes,,,,,,,,
96,of,O,of,O,SPORTS,HYBRID,Yes,,,,,,,,
97,the,O,the,O,SPORTS,HYBRID,Yes,,,,,,,,
98,titans,O,titans,O,SPORTS,HYBRID,Yes,,,,,,,,
99,but,O,but,O,SPORTS,HYBRID,Yes,,,,,,,,
0,an,O,an,O,SPORTS,HYBRID,Yes,,,,,,,,
1,intriuguing,O,intriuguing,O,SPORTS,HYBRID,Yes,,,,,,,,
2,match,O,match,O,SPORTS,HYBRID,Yes,,,,,,,,
3,nonetheless,O,nonetheless,O,SPORTS,HYBRID,Yes,,,,,,,,
4,.,O,.,O,SPORTS,HYBRID,Yes,,,,,,,,
5,,,,,SPORTS,HYBRID,Yes,,,,,,,,
6,Full,O,Full,O,SPORTS,HYBRID,Yes,,,,,,,,
7,strength,O,strength,O,SPORTS,HYBRID,Yes,,,,,,,,
8,Vicenza,B-ORG,Vicenza,B-ORG,SPORTS,HYBRID,Yes,,,,,,,,
9,",",O,",",O,SPORTS,HYBRID,Yes,,,,,,,,
10,led,O,led,O,SPORTS,HYBRID,Yes,,,,,,,,
11,by,O,by,O,SPORTS,HYBRID,Yes,,,,,,,,
12,Uruguayan,B-MISC,Uruguayan,B-MISC,SPORTS,HYBRID,Yes,,,,,,,,
13,Marcelo,B-PER,Marcelo,B-PER,SPORTS,HYBRID,Yes,,,,,,,,
14,Otero,I-PER,Otero,I-PER,SPORTS,HYBRID,Yes,,,,,,,,
15,",",O,",",O,SPORTS,HYBRID,Yes,,,,,,,,
16,may,O,may,O,SPORTS,HYBRID,Yes,,,,,,,,
17,continue,O,continue,O,SPORTS,HYBRID,Yes,,,,,,,,
18,their,O,their,O,SPORTS,HYBRID,Yes,,,,,,,,
19,surprise,O,surprise,O,SPORTS,HYBRID,Yes,,,,,,,,
20,run,O,run,O,SPORTS,HYBRID,Yes,,,,,,,,
21,at,O,at,O,SPORTS,HYBRID,Yes,,,,,,,,
22,the,O,the,O,SPORTS,HYBRID,Yes,,,,,,,,
23,top,O,top,O,SPORTS,HYBRID,Yes,,,,,,,,
24,against,O,against,O,SPORTS,HYBRID,Yes,,,,,,,,
25,an,O,an,O,SPORTS,HYBRID,Yes,,,,,,,,
26,Inter,B-ORG,Inter,B-ORG,SPORTS,HYBRID,Yes,,,,,,,,
27,side,O,side,O,SPORTS,HYBRID,Yes,,,,,,,,
28,that,O,that,O,SPORTS,HYBRID,Yes,,,,,,,,
29,has,O,has,O,SPORTS,HYBRID,Yes,,,,,,,,
30,been,O,been,O,SPORTS,HYBRID,Yes,,,,,,,,
31,less,O,less,O,SPORTS,HYBRID,Yes,,,,,,,,
32,than,O,than,O,SPORTS,HYBRID,Yes,,,,,,,,
33,impressive,O,impressive,O,SPORTS,HYBRID,Yes,,,,,,,,
34,in,O,in,O,SPORTS,HYBRID,Yes,,,,,,,,
35,three,O,three,O,SPORTS,HYBRID,Yes,,,,,,,,
36,successive,O,successive,O,SPORTS,HYBRID,Yes,,,,,,,,
37,home,O,home,O,SPORTS,HYBRID,Yes,,,,,,,,
38,draws,O,draws,O,SPORTS,HYBRID,Yes,,,,,,,,
39,.,O,.,O,SPORTS,HYBRID,Yes,,,,,,,,
40,,,,,SPORTS,HYBRID,Yes,,,,,,,,
41,Inter,B-ORG,Inter,B-ORG,SPORTS,HYBRID,Yes,,,,,,,,
42,will,O,will,O,SPORTS,HYBRID,Yes,,,,,,,,
43,be,O,be,O,SPORTS,HYBRID,Yes,,,,,,,,
44,without,O,without,O,SPORTS,HYBRID,Yes,,,,,,,,
45,suspended,O,suspended,O,SPORTS,HYBRID,Yes,,,,,,,,
46,French,B-MISC,French,B-MISC,SPORTS,HYBRID,Yes,,,,,,,,
47,defender,O,defender,O,SPORTS,HYBRID,Yes,,,,,,,,
48,Joceyln,B-PER,Joceyln,B-PER,SPORTS,HYBRID,Yes,,,,,,,,
49,Angloma,I-PER,Angloma,I-PER,SPORTS,HYBRID,Yes,,,,,,,,
50,and,O,and,O,SPORTS,HYBRID,Yes,,,,,,,,
51,injured,O,injured,O,SPORTS,HYBRID,Yes,,,,,,,,
52,Chilean,B-MISC,Chilean,B-MISC,SPORTS,HYBRID,Yes,,,,,,,,
53,striker,O,striker,O,SPORTS,HYBRID,Yes,,,,,,,,
54,Ivan,B-PER,Ivan,B-PER,SPORTS,HYBRID,Yes,,,,,,,,
55,Zamorano,I-PER,Zamorano,I-PER,SPORTS,HYBRID,Yes,,,,,,,,
56,.,O,.,O,SPORTS,HYBRID,Yes,,,,,,,,
57,,,,,SPORTS,HYBRID,Yes,,,,,,,,
58,-DOCSTART-,O,-DOCSTART-,O,SPORTS,DATA REPORT,Yes,,,,,,,,
59,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
60,BASKETBALL,O,BASKETBALL,O,SPORTS,DATA REPORT,Yes,,,,,,,,
61,-,O,-,O,SPORTS,DATA REPORT,Yes,,,,,,,,
62,EUROLEAGUE,B-MISC,EUROLEAGUE,B-MISC,SPORTS,DATA REPORT,Yes,,,,,,,,
63,RESULT,O,RESULT,O,SPORTS,DATA REPORT,Yes,,,,,,,,
64,.,O,.,O,SPORTS,DATA REPORT,Yes,,,,,,,,
65,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
66,BRUSSELS,B-LOC,BRUSSELS,B-LOC,SPORTS,DATA REPORT,Yes,,,,,,,,
67,1996-12-06,O,1996-12-06,O,SPORTS,DATA REPORT,Yes,,,,,,,,
68,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
69,Result,O,Result,O,SPORTS,DATA REPORT,Yes,,,,,,,,
70,of,O,of,O,SPORTS,DATA REPORT,Yes,,,,,,,,
71,a,O,a,O,SPORTS,DATA REPORT,Yes,,,,,,,,
72,EuroLeague,B-MISC,EuroLeague,B-MISC,SPORTS,DATA REPORT,Yes,,,,,,,,
73,basketball,O,basketball,O,SPORTS,DATA REPORT,Yes,,,,,,,,
74,match,O,match,O,SPORTS,DATA REPORT,Yes,,,,,,,,
75,on,O,on,O,SPORTS,DATA REPORT,Yes,,,,,,,,
76,Thursday,O,Thursday,O,SPORTS,DATA REPORT,Yes,,,,,,,,
77,:,O,:,O,SPORTS,DATA REPORT,Yes,,,,,,,,
78,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
79,Group,O,Group,O,SPORTS,DATA REPORT,Yes,,,,,,,,
80,B,O,B,O,SPORTS,DATA REPORT,Yes,,,,,,,,
81,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
82,In,O,In,O,SPORTS,DATA REPORT,Yes,,,,,,,,
83,Charleroi,B-LOC,Charleroi,B-LOC,SPORTS,DATA REPORT,Yes,,,,,,,,
84,:,O,:,O,SPORTS,DATA REPORT,Yes,,,,,,,,
85,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
86,Charleroi,B-ORG,Charleroi,B-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
87,(,O,(,O,SPORTS,DATA REPORT,Yes,,,,,,,,
88,Belgium,B-LOC,Belgium,B-LOC,SPORTS,DATA REPORT,Yes,,,,,,,,
89,),O,),O,SPORTS,DATA REPORT,Yes,,,,,,,,
90,75,O,75,O,SPORTS,DATA REPORT,Yes,,,,,,,,
91,Estudiantes,B-ORG,Estudiantes,B-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
92,Madrid,I-ORG,Madrid,I-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
93,(,O,(,O,SPORTS,DATA REPORT,Yes,,,,,,,,
94,Spain,B-LOC,Spain,B-LOC,SPORTS,DATA REPORT,Yes,,,,,,,,
95,),O,),O,SPORTS,DATA REPORT,Yes,,,,,,,,
96,82,O,82,O,SPORTS,DATA REPORT,Yes,,,,,,,,
97,(,O,(,O,SPORTS,DATA REPORT,Yes,,,,,,,,
98,34-35,O,34-35,O,SPORTS,DATA REPORT,Yes,,,,,,,,
99,),O,),O,SPORTS,DATA REPORT,Yes,,,,,,,,
0,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
1,Leading,O,Leading,O,SPORTS,DATA REPORT,Yes,,,,,,,,
2,scorers,O,scorers,O,SPORTS,DATA REPORT,Yes,,,,,,,,
3,:,O,:,O,SPORTS,DATA REPORT,Yes,,,,,,,,
4,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
5,Charleroi,B-ORG,Charleroi,B-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
6,-,O,-,O,SPORTS,DATA REPORT,Yes,,,,,,,,
7,Eric,B-PER,Eric,B-PER,SPORTS,DATA REPORT,Yes,,,,,,,,
8,Cleymans,I-PER,Cleymans,I-PER,SPORTS,DATA REPORT,Yes,,,,,,,,
9,18,O,18,O,SPORTS,DATA REPORT,Yes,,,,,,,,
10,",",O,",",O,SPORTS,DATA REPORT,Yes,,,,,,,,
11,Ron,B-PER,Ron,B-PER,SPORTS,DATA REPORT,Yes,,,,,,,,
12,Ellis,I-PER,Ellis,I-PER,SPORTS,DATA REPORT,Yes,,,,,,,,
13,18,O,18,O,SPORTS,DATA REPORT,Yes,,,,,,,,
14,",",O,",",O,SPORTS,DATA REPORT,Yes,,,,,,,,
15,Jacques,B-PER,Jacques,B-PER,SPORTS,DATA REPORT,Yes,,,,,,,,
16,Stas,I-PER,Stas,I-PER,SPORTS,DATA REPORT,Yes,,,,,,,,
17,14,O,14,O,SPORTS,DATA REPORT,Yes,,,,,,,,
18,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
19,Estudiantes,B-ORG,Estudiantes,B-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
20,-,O,-,O,SPORTS,DATA REPORT,Yes,,,,,,,,
21,Harper,B-PER,Harper,B-PER,SPORTS,DATA REPORT,Yes,,,,,,,,
22,Williams,I-PER,Williams,I-PER,SPORTS,DATA REPORT,Yes,,,,,,,,
23,20,O,20,O,SPORTS,DATA REPORT,Yes,,,,,,,,
24,",",O,",",O,SPORTS,DATA REPORT,Yes,,,,,,,,
25,Chadler,B-PER,Chadler,B-PER,SPORTS,DATA REPORT,Yes,,,,,,,,
26,Thompson,I-PER,Thompson,I-PER,SPORTS,DATA REPORT,Yes,,,,,,,,
27,17,O,17,O,SPORTS,DATA REPORT,Yes,,,,,,,,
28,",",O,",",O,SPORTS,DATA REPORT,Yes,,,,,,,,
29,Juan,B-PER,Juan,B-PER,SPORTS,DATA REPORT,Yes,,,,,,,,
30,Aisa,I-PER,Aisa,I-PER,SPORTS,DATA REPORT,Yes,,,,,,,,
31,14,O,14,O,SPORTS,DATA REPORT,Yes,,,,,,,,
32,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
33,Group,O,Group,O,SPORTS,DATA REPORT,Yes,,,,,,,,
34,D,O,D,O,SPORTS,DATA REPORT,Yes,,,,,,,,
35,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
36,In,O,In,O,SPORTS,DATA REPORT,Yes,,,,,,,,
37,Belgrade,B-LOC,Belgrade,B-LOC,SPORTS,DATA REPORT,Yes,,,,,,,,
38,:,O,:,O,SPORTS,DATA REPORT,Yes,,,,,,,,
39,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
40,Partizan,B-ORG,Partizan,B-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
41,Belgrade,I-ORG,Belgrade,I-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
42,(,O,(,O,SPORTS,DATA REPORT,Yes,,,,,,,,
43,Yugoslavia,B-LOC,Yugoslavia,B-LOC,SPORTS,DATA REPORT,Yes,,,,,,,,
44,),O,),O,SPORTS,DATA REPORT,Yes,,,,,,,,
45,78,O,78,O,SPORTS,DATA REPORT,Yes,,,,,,,,
46,Kinder,B-ORG,Kinder,B-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
47,Bologna,I-ORG,Bologna,I-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
48,(,O,(,O,SPORTS,DATA REPORT,Yes,,,,,,,,
49,Italy,B-LOC,Italy,B-LOC,SPORTS,DATA REPORT,Yes,,,,,,,,
50,),O,),O,SPORTS,DATA REPORT,Yes,,,,,,,,
51,70,O,70,O,SPORTS,DATA REPORT,Yes,,,,,,,,
52,(,O,(,O,SPORTS,DATA REPORT,Yes,,,,,,,,
53,halftime,O,halftime,O,SPORTS,DATA REPORT,Yes,,,,,,,,
54,44-35,O,44-35,O,SPORTS,DATA REPORT,Yes,,,,,,,,
55,),O,),O,SPORTS,DATA REPORT,Yes,,,,,,,,
56,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
57,Leading,O,Leading,O,SPORTS,DATA REPORT,Yes,,,,,,,,
58,scorers,O,scorers,O,SPORTS,DATA REPORT,Yes,,,,,,,,
59,:,O,:,O,SPORTS,DATA REPORT,Yes,,,,,,,,
60,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
61,Partizan,B-ORG,Partizan,B-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
62,-,O,-,O,SPORTS,DATA REPORT,Yes,,,,,,,,
63,Dejan,B-PER,Dejan,B-PER,SPORTS,DATA REPORT,Yes,,,,,,,,
64,Koturovic,I-PER,Koturovic,I-PER,SPORTS,DATA REPORT,Yes,,,,,,,,
65,21,O,21,O,SPORTS,DATA REPORT,Yes,,,,,,,,
66,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
67,Kinder,O,Kinder,B-ORG,SPORTS,DATA REPORT,No,^,CONLL ERROR,,lingering,CONLL TYPE ERROR,,,
68,-,O,-,O,SPORTS,DATA REPORT,Yes,,,,,,,,
69,Zoran,B-PER,Zoran,B-PER,SPORTS,DATA REPORT,Yes,,,,,,,,
70,Savic,I-PER,Savic,I-PER,SPORTS,DATA REPORT,Yes,,,,,,,,
71,18,O,18,O,SPORTS,DATA REPORT,Yes,,,,,,,,
72,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
73,-DOCSTART-,O,-DOCSTART-,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
74,,,,,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
75,SQUASH,O,SQUASH,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
76,-,O,-,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
77,EYLES,B-PER,EYLES,O,SPORTS,TEXT ARTICLE,No,^,MISSED,,,CAPITALIZATION,,,
78,WITHIN,O,WITHIN,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
79,SIGHT,O,SIGHT,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
80,OF,O,OF,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
81,FIFTH,O,FIFTH,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
82,TITLE,O,TITLE,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
83,OF,O,OF,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
84,YEAR,O,YEAR,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
85,.,O,.,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
86,,,,,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
87,BOMBAY,B-LOC,BOMBAY,B-LOC,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
88,",",O,",",O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
89,India,B-LOC,India,B-LOC,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
90,1996-12-06,O,1996-12-06,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
91,,,,,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
92,World,O,World,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
93,number,O,number,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
94,two,O,two,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
95,Rodney,B-PER,Rodney,B-PER,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
96,Eyles,I-PER,Eyles,I-PER,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
97,moved,O,moved,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
98,within,O,within,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
99,sight,O,sight,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
0,of,O,of,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
1,his,O,his,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
2,fifth,O,fifth,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
3,title,O,title,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
4,of,O,of,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
5,the,O,the,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
6,year,O,year,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
7,on,O,on,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
8,Friday,O,Friday,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
9,when,O,when,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
10,he,O,he,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
11,hurried,O,hurried,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
12,in,O,in,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
13,only,O,only,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
14,40,O,40,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
15,minutes,O,minutes,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
16,to,O,to,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
17,the,O,the,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
18,final,O,final,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
19,of,O,of,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
20,the,O,the,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
21,richest,O,richest,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
22,squash,O,squash,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
23,tournament,O,tournament,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
24,outside,O,outside,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
25,the,O,the,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
26,World,B-MISC,World,B-MISC,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
27,Open,I-MISC,Open,I-MISC,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
28,",",O,",",O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
29,the,O,the,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
30,$,O,$,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
31,"105,000",O,"105,000",O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
32,Mahindra,B-MISC,Mahindra,B-MISC,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
33,International,I-MISC,International,I-MISC,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
34,.,O,.,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
35,,,,,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
36,The,O,The,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
37,Australian,B-MISC,Australian,B-MISC,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
38,brushed,O,brushed,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
39,aside,O,aside,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
40,unseeded,O,unseeded,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
41,Englishman,B-MISC,Englishman,B-MISC,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
42,Mark,B-PER,Mark,B-PER,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
43,Cairns,I-PER,Cairns,I-PER,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
44,15-7,O,15-7,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
45,15-6,O,15-6,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
46,15-8,O,15-8,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
47,.,O,.,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
48,,,,,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
49,Top-seeded,O,Top-seeded,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
50,Eyles,B-PER,Eyles,B-PER,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
51,now,O,now,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
52,meets,O,meets,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
53,titleholder,O,titleholder,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
54,Peter,B-PER,Peter,B-PER,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
55,Nicol,I-PER,Nicol,I-PER,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
56,of,O,of,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
57,Scotland,B-LOC,Scotland,B-LOC,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
58,who,O,who,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
59,overcame,O,overcame,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
60,Simon,B-PER,Simon,B-PER,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
61,Parke,I-PER,Parke,I-PER,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
62,of,O,of,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
63,England,B-LOC,England,B-LOC,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
64,15-7,O,15-7,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
65,15-12,O,15-12,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
66,15-12,O,15-12,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
67,.,O,.,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
68,,,,,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
69,Nicol,B-PER,Nicol,B-PER,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
70,was,O,was,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
71,full,O,full,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
72,of,O,of,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
73,praise,O,praise,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
74,for,O,for,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
75,his,O,his,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
76,opponent,O,opponent,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
77,who,O,who,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
78,has,O,has,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
79,battled,O,battled,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
80,testicular,O,testicular,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
81,cancer,O,cancer,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
82,to,O,to,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
83,return,O,return,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
84,to,O,to,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
85,the,O,the,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
86,circuit,O,circuit,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
87,.,O,.,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
88,"\""",O,"\""",O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
89,,,,,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
90,He,O,He,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
91,'s,O,s,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
92,a,O,a,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
93,remarkably,O,remarkably,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
94,courageous,O,courageous,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
95,player,O,player,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
96,",",O,",",O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
97,"\""",O,"\""",O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
98,said,O,said,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
99,Nicol,B-PER,Nicol,B-PER,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
0,.,O,.,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
1,,,,,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
2,-DOCSTART-,O,-DOCSTART-,O,SPORTS,DATA REPORT,Yes,,,,,,,,
3,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
4,SQUASH,O,SQUASH,O,SPORTS,DATA REPORT,Yes,,,,,,,,
5,-,O,-,O,SPORTS,DATA REPORT,Yes,,,,,,,,
6,MAHINDRA,B-MISC,MAHINDRA,B-MISC,SPORTS,DATA REPORT,Yes,,,,,,,,
7,INTERNATIONAL,I-MISC,INTERNATIONAL,I-MISC,SPORTS,DATA REPORT,Yes,,,,,,,,
8,SEMIFINAL,O,SEMIFINAL,O,SPORTS,DATA REPORT,Yes,,,,,,,,
9,RESULTS,O,RESULTS,O,SPORTS,DATA REPORT,Yes,,,,,,,,
10,.,O,.,O,SPORTS,DATA REPORT,Yes,,,,,,,,
11,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
12,BOMBAY,B-LOC,BOMBAY,B-LOC,SPORTS,DATA REPORT,Yes,,,,,,,,
13,",",O,",",O,SPORTS,DATA REPORT,Yes,,,,,,,,
14,India,B-LOC,India,B-LOC,SPORTS,DATA REPORT,Yes,,,,,,,,
15,1996-12-06,O,1996-12-06,O,SPORTS,DATA REPORT,Yes,,,,,,,,
16,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
17,Results,O,Results,O,SPORTS,DATA REPORT,Yes,,,,,,,,
18,of,O,of,O,SPORTS,DATA REPORT,Yes,,,,,,,,
19,semifinals,O,semifinals,O,SPORTS,DATA REPORT,Yes,,,,,,,,
20,in,O,in,O,SPORTS,DATA REPORT,Yes,,,,,,,,
21,the,O,the,O,SPORTS,DATA REPORT,Yes,,,,,,,,
22,Mahindra,B-MISC,Mahindra,B-MISC,SPORTS,DATA REPORT,Yes,,,,,,,,
23,International,I-MISC,International,I-MISC,SPORTS,DATA REPORT,Yes,,,,,,,,
24,squash,O,squash,O,SPORTS,DATA REPORT,Yes,,,,,,,,
25,tournament,O,tournament,O,SPORTS,DATA REPORT,Yes,,,,,,,,
26,on,O,on,O,SPORTS,DATA REPORT,Yes,,,,,,,,
27,Friday,O,Friday,O,SPORTS,DATA REPORT,Yes,,,,,,,,
28,:,O,:,O,SPORTS,DATA REPORT,Yes,,,,,,,,
29,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
30,Peter,B-PER,Peter,B-PER,SPORTS,DATA REPORT,Yes,,,,,,,,
31,Nicol,I-PER,Nicol,I-PER,SPORTS,DATA REPORT,Yes,,,,,,,,
