row_mod,text,conll#,text,xlmr_outputs,domain,format,is_match,mention_level,error_type,illegal_flag,comment,repeated issue,,,
88,.111,O,.111,O,SPORTS,DATA REPORT,Yes,,,,,,,,
89,14,O,14,O,SPORTS,DATA REPORT,Yes,,,,,,,,
90,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
91,PACIFIC,B-MISC,PACIFIC,B-MISC,SPORTS,DATA REPORT,Yes,,,,,,,,
92,DIVISION,I-MISC,DIVISION,I-MISC,SPORTS,DATA REPORT,Yes,,,,,,,,
93,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
94,W,O,W,O,SPORTS,DATA REPORT,Yes,,,,,,,,
95,L,O,L,O,SPORTS,DATA REPORT,Yes,,,,,,,,
96,PCT,O,PCT,O,SPORTS,DATA REPORT,Yes,,,,,,,,
97,GB,O,GB,O,SPORTS,DATA REPORT,Yes,,,,,,,,
98,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
99,SEATTLE,B-ORG,SEATTLE,B-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
0,15,O,15,O,SPORTS,DATA REPORT,Yes,,,,,,,,
1,5,O,5,O,SPORTS,DATA REPORT,Yes,,,,,,,,
2,.750,O,.750,O,SPORTS,DATA REPORT,Yes,,,,,,,,
3,-,O,-,O,SPORTS,DATA REPORT,Yes,,,,,,,,
4,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
5,LA,B-ORG,LA,B-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
6,LAKERS,I-ORG,LAKERS,I-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
7,13,O,13,O,SPORTS,DATA REPORT,Yes,,,,,,,,
8,7,O,7,O,SPORTS,DATA REPORT,Yes,,,,,,,,
9,.650,O,.650,O,SPORTS,DATA REPORT,Yes,,,,,,,,
10,2,O,2,O,SPORTS,DATA REPORT,Yes,,,,,,,,
11,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
12,PORTLAND,B-ORG,PORTLAND,B-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
13,11,O,11,O,SPORTS,DATA REPORT,Yes,,,,,,,,
14,8,O,8,O,SPORTS,DATA REPORT,Yes,,,,,,,,
15,.579,O,.579,O,SPORTS,DATA REPORT,Yes,,,,,,,,
16,3,O,3,O,SPORTS,DATA REPORT,Yes,,,,,,,,
17,1/2,O,1/2,O,SPORTS,DATA REPORT,Yes,,,,,,,,
18,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
19,LA,B-ORG,LA,B-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
20,CLIPPERS,I-ORG,CLIPPERS,I-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
21,7,O,7,O,SPORTS,DATA REPORT,Yes,,,,,,,,
22,11,O,11,O,SPORTS,DATA REPORT,Yes,,,,,,,,
23,.389,O,.389,O,SPORTS,DATA REPORT,Yes,,,,,,,,
24,7,O,7,O,SPORTS,DATA REPORT,Yes,,,,,,,,
25,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
26,GOLDEN,B-ORG,GOLDEN,B-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
27,STATE,I-ORG,STATE,I-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
28,6,O,6,O,SPORTS,DATA REPORT,Yes,,,,,,,,
29,12,O,12,O,SPORTS,DATA REPORT,Yes,,,,,,,,
30,.333,O,.333,O,SPORTS,DATA REPORT,Yes,,,,,,,,
31,8,O,8,O,SPORTS,DATA REPORT,Yes,,,,,,,,
32,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
33,SACRAMENTO,B-ORG,SACRAMENTO,B-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
34,6,O,6,O,SPORTS,DATA REPORT,Yes,,,,,,,,
35,12,O,12,O,SPORTS,DATA REPORT,Yes,,,,,,,,
36,.333,O,.333,O,SPORTS,DATA REPORT,Yes,,,,,,,,
37,8,O,8,O,SPORTS,DATA REPORT,Yes,,,,,,,,
38,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
39,PHOENIX,B-ORG,PHOENIX,B-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
40,2,O,2,O,SPORTS,DATA REPORT,Yes,,,,,,,,
41,14,O,14,O,SPORTS,DATA REPORT,Yes,,,,,,,,
42,.125,O,.125,O,SPORTS,DATA REPORT,Yes,,,,,,,,
43,11,O,11,O,SPORTS,DATA REPORT,Yes,,,,,,,,
44,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
45,FRIDAY,O,FRIDAY,O,SPORTS,DATA REPORT,Yes,,,,,,,,
46,",",O,",",O,SPORTS,DATA REPORT,Yes,,,,,,,,
47,DECEMBER,O,DECEMBER,O,SPORTS,DATA REPORT,Yes,,,,,,,,
48,6,O,6,O,SPORTS,DATA REPORT,Yes,,,,,,,,
49,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
50,NEW,B-ORG,NEW,B-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
51,JERSEY,I-ORG,JERSEY,I-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
52,AT,O,AT,O,SPORTS,DATA REPORT,Yes,,,,,,,,
53,BOSTON,B-LOC,BOSTON,B-LOC,SPORTS,DATA REPORT,Yes,,,,,,,,
54,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
55,CLEVELAND,B-ORG,CLEVELAND,B-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
56,AT,O,AT,O,SPORTS,DATA REPORT,Yes,,,,,,,,
57,DETROIT,B-LOC,DETROIT,B-LOC,SPORTS,DATA REPORT,Yes,,,,,,,,
58,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
59,NEW,B-ORG,NEW,B-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
60,YORK,I-ORG,YORK,I-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
61,AT,O,AT,O,SPORTS,DATA REPORT,Yes,,,,,,,,
62,MIAMI,B-LOC,MIAMI,B-LOC,SPORTS,DATA REPORT,Yes,,,,,AT TEAM ERROR,,,
63,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
64,PHOENIX,B-ORG,PHOENIX,B-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
65,AT,O,AT,O,SPORTS,DATA REPORT,Yes,,,,,,,,
66,SACRAMENTO,B-LOC,SACRAMENTO,B-LOC,SPORTS,DATA REPORT,Yes,,,,,AT TEAM ERROR,,,
67,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
68,VANCOUVER,B-ORG,VANCOUVER,B-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
69,AT,O,AT,O,SPORTS,DATA REPORT,Yes,,,,,AT TEAM ERROR,,,
70,SAN,B-LOC,SAN,B-LOC,SPORTS,DATA REPORT,Yes,,,,,AT TEAM ERROR,,,
71,ANTONIO,I-LOC,ANTONIO,I-LOC,SPORTS,DATA REPORT,Yes,,,,,,,,
72,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
73,MINNESOTA,B-ORG,MINNESOTA,B-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
74,AT,O,AT,O,SPORTS,DATA REPORT,Yes,,,,,,,,
75,UTAH,B-LOC,UTAH,B-LOC,SPORTS,DATA REPORT,Yes,,,,,AT TEAM ERROR,,,
76,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
77,CHARLOTTE,B-ORG,CHARLOTTE,B-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
78,AT,O,AT,O,SPORTS,DATA REPORT,Yes,,,,,,,,
79,PORTLAND,B-LOC,PORTLAND,B-LOC,SPORTS,DATA REPORT,Yes,,,,,AT TEAM ERROR,,,
80,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
81,INDIANA,B-ORG,INDIANA,B-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
82,AT,O,AT,O,SPORTS,DATA REPORT,Yes,,,,,,,,
83,GOLDEN,B-LOC,GOLDEN,B-LOC,SPORTS,DATA REPORT,Yes,^,TYPE ERROR,,,,,,
84,STATE,I-LOC,STATE,I-LOC,SPORTS,DATA REPORT,Yes,,,,,AT TEAM ERROR,,,
85,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
86,ORLANDO,B-ORG,ORLANDO,B-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
87,AT,O,AT,O,SPORTS,DATA REPORT,Yes,,,,,,,,
88,LA,B-ORG,LA,B-LOC,SPORTS,DATA REPORT,No,^,TYPE ERROR,,,,,,
89,LAKERS,I-ORG,LAKERS,I-LOC,SPORTS,DATA REPORT,No,^,TYPE ERROR,,ORG > LOC,AT TEAM ERROR,,,
90,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
91,-DOCSTART-,O,-DOCSTART-,O,SPORTS,DATA REPORT,Yes,,,,,,,,
92,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
93,NFL,B-ORG,NFL,B-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
94,AMERICAN,B-MISC,AMERICAN,B-MISC,SPORTS,DATA REPORT,Yes,,,,,,,,
95,FOOTBALL,O,FOOTBALL,O,SPORTS,DATA REPORT,Yes,,,,,,,,
96,-,O,-,O,SPORTS,DATA REPORT,Yes,,,,,,,,
97,STANDINGS,O,STANDINGS,O,SPORTS,DATA REPORT,Yes,,,,,,,,
98,AFTER,O,AFTER,O,SPORTS,DATA REPORT,Yes,,,,,,,,
99,THURSDAY,O,THURSDAY,O,SPORTS,DATA REPORT,Yes,,,,,,,,
0,'S,O,'S,O,SPORTS,DATA REPORT,Yes,,,,,,,,
1,GAME,O,GAME,O,SPORTS,DATA REPORT,Yes,,,,,,,,
2,.,O,.,O,SPORTS,DATA REPORT,Yes,,,,,,,,
3,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
4,NEW,B-LOC,NEW,B-LOC,SPORTS,DATA REPORT,Yes,,,,,,,,
5,YORK,I-LOC,YORK,I-LOC,SPORTS,DATA REPORT,Yes,,,,,,,,
6,1996-12-05,O,1996-12-05,O,SPORTS,DATA REPORT,Yes,,,,,,,,
7,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
8,National,B-ORG,National,B-MISC,SPORTS,DATA REPORT,No,^,TYPE ERROR,,,,,,
9,Football,I-ORG,Football,I-MISC,SPORTS,DATA REPORT,No,^,TYPE ERROR,,,,,,
10,League,I-ORG,League,I-MISC,SPORTS,DATA REPORT,No,^,TYPE ERROR,,ORG > MISC,,,,
11,standings,O,standings,O,SPORTS,DATA REPORT,Yes,,,,,,,,
12,after,O,after,O,SPORTS,DATA REPORT,Yes,,,,,,,,
13,Thursday,O,Thursday,O,SPORTS,DATA REPORT,Yes,,,,,,,,
14,'s,O,'s,O,SPORTS,DATA REPORT,Yes,,,,,,,,
15,game,O,game,O,SPORTS,DATA REPORT,Yes,,,,,,,,
16,(,O,(,O,SPORTS,DATA REPORT,Yes,,,,,,,,
17,tabulate,O,tabulate,O,SPORTS,DATA REPORT,Yes,,,,,,,,
18,under,O,under,O,SPORTS,DATA REPORT,Yes,,,,,,,,
19,won,O,won,O,SPORTS,DATA REPORT,Yes,,,,,,,,
20,",",O,",",O,SPORTS,DATA REPORT,Yes,,,,,,,,
21,lost,O,lost,O,SPORTS,DATA REPORT,Yes,,,,,,,,
22,",",O,",",O,SPORTS,DATA REPORT,Yes,,,,,,,,
23,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
24,tied,O,tied,O,SPORTS,DATA REPORT,Yes,,,,,,,,
25,",",O,",",O,SPORTS,DATA REPORT,Yes,,,,,,,,
26,points,O,points,O,SPORTS,DATA REPORT,Yes,,,,,,,,
27,for,O,for,O,SPORTS,DATA REPORT,Yes,,,,,,,,
28,and,O,and,O,SPORTS,DATA REPORT,Yes,,,,,,,,
29,points,O,points,O,SPORTS,DATA REPORT,Yes,,,,,,,,
30,against,O,against,O,SPORTS,DATA REPORT,Yes,,,,,,,,
31,),O,),O,SPORTS,DATA REPORT,Yes,,,,,,,,
32,:,O,:,O,SPORTS,DATA REPORT,Yes,,,,,,,,
33,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
34,AMERICAN,B-MISC,AMERICAN,B-MISC,SPORTS,DATA REPORT,Yes,,,,,,,,
35,FOOTBALL,I-MISC,FOOTBALL,I-MISC,SPORTS,DATA REPORT,Yes,,,,,,,,
36,CONFERENCE,I-MISC,CONFERENCE,I-MISC,SPORTS,DATA REPORT,Yes,,,,,,,,
37,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
38,EASTERN,B-MISC,EASTERN,B-MISC,SPORTS,DATA REPORT,Yes,,,,,,,,
39,DIVISION,I-MISC,DIVISION,I-MISC,SPORTS,DATA REPORT,Yes,,,,,,,,
40,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
41,W,O,W,O,SPORTS,DATA REPORT,Yes,,,,,,,,
42,L,O,L,O,SPORTS,DATA REPORT,Yes,,,,,,,,
43,T,O,T,O,SPORTS,DATA REPORT,Yes,,,,,,,,
44,PF,O,PF,O,SPORTS,DATA REPORT,Yes,,,,,,,,
45,PA,O,PA,O,SPORTS,DATA REPORT,Yes,,,,,,,,
46,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
47,NEW,B-ORG,NEW,B-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
48,ENGLAND,I-ORG,ENGLAND,I-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
49,9,O,9,O,SPORTS,DATA REPORT,Yes,,,,,,,,
50,4,O,4,O,SPORTS,DATA REPORT,Yes,,,,,,,,
51,0,O,0,O,SPORTS,DATA REPORT,Yes,,,,,,,,
52,355,O,355,O,SPORTS,DATA REPORT,Yes,,,,,,,,
53,269,O,269,O,SPORTS,DATA REPORT,Yes,,,,,,,,
54,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
55,BUFFALO,B-ORG,BUFFALO,B-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
56,9,O,9,O,SPORTS,DATA REPORT,Yes,,,,,,,,
57,4,O,4,O,SPORTS,DATA REPORT,Yes,,,,,,,,
58,0,O,0,O,SPORTS,DATA REPORT,Yes,,,,,,,,
59,267,O,267,O,SPORTS,DATA REPORT,Yes,,,,,,,,
60,215,O,215,O,SPORTS,DATA REPORT,Yes,,,,,,,,
61,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
62,INDIANAPOLIS,B-ORG,INDIANAPOLIS,B-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
63,8,O,8,O,SPORTS,DATA REPORT,Yes,,,,,,,,
64,6,O,6,O,SPORTS,DATA REPORT,Yes,,,,,,,,
65,0,O,0,O,SPORTS,DATA REPORT,Yes,,,,,,,,
66,269,O,269,O,SPORTS,DATA REPORT,Yes,,,,,,,,
67,284,O,284,O,SPORTS,DATA REPORT,Yes,,,,,,,,
68,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
69,MIAMI,B-ORG,MIAMI,B-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
70,6,O,6,O,SPORTS,DATA REPORT,Yes,,,,,,,,
71,7,O,7,O,SPORTS,DATA REPORT,Yes,,,,,,,,
72,0,O,0,O,SPORTS,DATA REPORT,Yes,,,,,,,,
73,285,O,285,O,SPORTS,DATA REPORT,Yes,,,,,,,,
74,266,O,266,O,SPORTS,DATA REPORT,Yes,,,,,,,,
75,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
76,NY,B-ORG,NY,B-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
77,JETS,I-ORG,JETS,I-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
78,1,O,1,O,SPORTS,DATA REPORT,Yes,,,,,,,,
79,12,O,12,O,SPORTS,DATA REPORT,Yes,,,,,,,,
80,0,O,0,O,SPORTS,DATA REPORT,Yes,,,,,,,,
81,221,O,221,O,SPORTS,DATA REPORT,Yes,,,,,,,,
82,368,O,368,O,SPORTS,DATA REPORT,Yes,,,,,,,,
83,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
84,CENTRAL,B-MISC,CENTRAL,B-MISC,SPORTS,DATA REPORT,Yes,,,,,,,,
85,DIVISION,I-MISC,DIVISION,I-MISC,SPORTS,DATA REPORT,Yes,,,,,,,,
86,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
87,W,O,W,O,SPORTS,DATA REPORT,Yes,,,,,,,,
88,L,O,L,O,SPORTS,DATA REPORT,Yes,,,,,,,,
89,T,O,T,O,SPORTS,DATA REPORT,Yes,,,,,,,,
90,PF,O,PF,O,SPORTS,DATA REPORT,Yes,,,,,,,,
91,PA,O,PA,O,SPORTS,DATA REPORT,Yes,,,,,,,,
92,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
93,PITTSBURGH,B-ORG,PITTSBURGH,B-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
94,9,O,9,O,SPORTS,DATA REPORT,Yes,,,,,,,,
95,4,O,4,O,SPORTS,DATA REPORT,Yes,,,,,,,,
96,0,O,0,O,SPORTS,DATA REPORT,Yes,,,,,,,,
97,299,O,299,O,SPORTS,DATA REPORT,Yes,,,,,,,,
98,211,O,211,O,SPORTS,DATA REPORT,Yes,,,,,,,,
99,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
0,HOUSTON,B-ORG,HOUSTON,B-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
1,7,O,7,O,SPORTS,DATA REPORT,Yes,,,,,,,,
2,6,O,6,O,SPORTS,DATA REPORT,Yes,,,,,,,,
3,0,O,0,O,SPORTS,DATA REPORT,Yes,,,,,,,,
4,291,O,291,O,SPORTS,DATA REPORT,Yes,,,,,,,,
5,254,O,254,O,SPORTS,DATA REPORT,Yes,,,,,,,,
6,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
7,JACKSONVILLE,B-ORG,JACKSONVILLE,B-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
8,6,O,6,O,SPORTS,DATA REPORT,Yes,,,,,,,,
9,7,O,7,O,SPORTS,DATA REPORT,Yes,,,,,,,,
10,0,O,0,O,SPORTS,DATA REPORT,Yes,,,,,,,,
11,263,O,263,O,SPORTS,DATA REPORT,Yes,,,,,,,,
12,288,O,288,O,SPORTS,DATA REPORT,Yes,,,,,,,,
13,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
14,CINCINNATI,B-ORG,CINCINNATI,B-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
15,5,O,5,O,SPORTS,DATA REPORT,Yes,,,,,,,,
16,8,O,8,O,SPORTS,DATA REPORT,Yes,,,,,,,,
17,0,O,0,O,SPORTS,DATA REPORT,Yes,,,,,,,,
18,299,O,299,O,SPORTS,DATA REPORT,Yes,,,,,,,,
19,318,O,318,O,SPORTS,DATA REPORT,Yes,,,,,,,,
20,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
21,BALTIMORE,B-ORG,BALTIMORE,B-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
22,4,O,4,O,SPORTS,DATA REPORT,Yes,,,,,,,,
23,9,O,9,O,SPORTS,DATA REPORT,Yes,,,,,,,,
24,0,O,0,O,SPORTS,DATA REPORT,Yes,,,,,,,,
25,320,O,320,O,SPORTS,DATA REPORT,Yes,,,,,,,,
26,369,O,369,O,SPORTS,DATA REPORT,Yes,,,,,,,,
27,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
28,WESTERN,B-MISC,WESTERN,B-MISC,SPORTS,DATA REPORT,Yes,,,,,,,,
29,DIVISION,I-MISC,DIVISION,I-MISC,SPORTS,DATA REPORT,Yes,,,,,,,,
30,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
31,W,O,W,O,SPORTS,DATA REPORT,Yes,,,,,,,,
32,L,O,L,O,SPORTS,DATA REPORT,Yes,,,,,,,,
33,T,O,T,O,SPORTS,DATA REPORT,Yes,,,,,,,,
34,PF,O,PF,O,SPORTS,DATA REPORT,Yes,,,,,,,,
35,PA,O,PA,O,SPORTS,DATA REPORT,Yes,,,,,,,,
36,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
37,X,O,X,O,SPORTS,DATA REPORT,Yes,,,,,,,,
38,-,O,-,O,SPORTS,DATA REPORT,Yes,,,,,,,,
39,DENVER,B-ORG,DENVER,B-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
40,12,O,12,O,SPORTS,DATA REPORT,Yes,,,,,,,,
41,1,O,1,O,SPORTS,DATA REPORT,Yes,,,,,,,,
42,0,O,0,O,SPORTS,DATA REPORT,Yes,,,,,,,,
43,351,O,351,O,SPORTS,DATA REPORT,Yes,,,,,,,,
44,199,O,199,O,SPORTS,DATA REPORT,Yes,,,,,,,,
45,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
46,KANSAS,B-ORG,KANSAS,B-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
47,CITY,I-ORG,CITY,I-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
48,9,O,9,O,SPORTS,DATA REPORT,Yes,,,,,,,,
49,4,O,4,O,SPORTS,DATA REPORT,Yes,,,,,,,,
50,0,O,0,O,SPORTS,DATA REPORT,Yes,,,,,,,,
51,262,O,262,O,SPORTS,DATA REPORT,Yes,,,,,,,,
52,230,O,230,O,SPORTS,DATA REPORT,Yes,,,,,,,,
53,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
54,SAN,B-ORG,SAN,B-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
55,DIEGO,I-ORG,DIEGO,I-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
56,7,O,7,O,SPORTS,DATA REPORT,Yes,,,,,,,,
57,6,O,6,O,SPORTS,DATA REPORT,Yes,,,,,,,,
58,0,O,0,O,SPORTS,DATA REPORT,Yes,,,,,,,,
59,277,O,277,O,SPORTS,DATA REPORT,Yes,,,,,,,,
60,323,O,323,O,SPORTS,DATA REPORT,Yes,,,,,,,,
61,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
62,OAKLAND,B-ORG,OAKLAND,B-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
63,6,O,6,O,SPORTS,DATA REPORT,Yes,,,,,,,,
64,7,O,7,O,SPORTS,DATA REPORT,Yes,,,,,,,,
65,0,O,0,O,SPORTS,DATA REPORT,Yes,,,,,,,,
66,274,O,274,O,SPORTS,DATA REPORT,Yes,,,,,,,,
67,234,O,234,O,SPORTS,DATA REPORT,Yes,,,,,,,,
68,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
69,SEATTLE,B-ORG,SEATTLE,B-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
70,5,O,5,O,SPORTS,DATA REPORT,Yes,,,,,,,,
71,8,O,8,O,SPORTS,DATA REPORT,Yes,,,,,,,,
72,0,O,0,O,SPORTS,DATA REPORT,Yes,,,,,,,,
73,250,O,250,O,SPORTS,DATA REPORT,Yes,,,,,,,,
74,317,O,317,O,SPORTS,DATA REPORT,Yes,,,,,,,,
75,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
76,NATIONAL,B-MISC,NATIONAL,B-MISC,SPORTS,DATA REPORT,Yes,,,,,,,,
77,FOOTBALL,I-MISC,FOOTBALL,I-MISC,SPORTS,DATA REPORT,Yes,,,,,,,,
78,CONFERENCE,I-MISC,CONFERENCE,I-MISC,SPORTS,DATA REPORT,Yes,,,,,,,,
79,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
80,EASTERN,B-MISC,EASTERN,B-MISC,SPORTS,DATA REPORT,Yes,,,,,,,,
81,DIVISION,I-MISC,DIVISION,I-MISC,SPORTS,DATA REPORT,Yes,,,,,,,,
82,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
83,W,O,W,O,SPORTS,DATA REPORT,Yes,,,,,,,,
84,L,O,L,O,SPORTS,DATA REPORT,Yes,,,,,,,,
85,T,O,T,O,SPORTS,DATA REPORT,Yes,,,,,,,,
86,PF,O,PF,O,SPORTS,DATA REPORT,Yes,,,,,,,,
87,PA,O,PA,O,SPORTS,DATA REPORT,Yes,,,,,,,,
88,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
89,DALLAS,B-ORG,DALLAS,B-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
90,8,O,8,O,SPORTS,DATA REPORT,Yes,,,,,,,,
91,5,O,5,O,SPORTS,DATA REPORT,Yes,,,,,,,,
92,0,O,0,O,SPORTS,DATA REPORT,Yes,,,,,,,,
93,254,O,254,O,SPORTS,DATA REPORT,Yes,,,,,,,,
94,201,O,201,O,SPORTS,DATA REPORT,Yes,,,,,,,,
95,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
96,WASHINGTON,B-ORG,WASHINGTON,B-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
97,8,O,8,O,SPORTS,DATA REPORT,Yes,,,,,,,,
98,5,O,5,O,SPORTS,DATA REPORT,Yes,,,,,,,,
99,0,O,0,O,SPORTS,DATA REPORT,Yes,,,,,,,,
0,291,O,291,O,SPORTS,DATA REPORT,Yes,,,,,,,,
1,251,O,251,O,SPORTS,DATA REPORT,Yes,,,,,,,,
2,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
3,PHILADELPHIA,B-ORG,PHILADELPHIA,B-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
4,8,O,8,O,SPORTS,DATA REPORT,Yes,,,,,,,,
5,6,O,6,O,SPORTS,DATA REPORT,Yes,,,,,,,,
6,0,O,0,O,SPORTS,DATA REPORT,Yes,,,,,,,,
7,313,O,313,O,SPORTS,DATA REPORT,Yes,,,,,,,,
8,302,O,302,O,SPORTS,DATA REPORT,Yes,,,,,,,,
9,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
10,ARIZONA,B-ORG,ARIZONA,B-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
11,6,O,6,O,SPORTS,DATA REPORT,Yes,,,,,,,,
12,7,O,7,O,SPORTS,DATA REPORT,Yes,,,,,,,,
13,0,O,0,O,SPORTS,DATA REPORT,Yes,,,,,,,,
14,248,O,248,O,SPORTS,DATA REPORT,Yes,,,,,,,,
15,332,O,332,O,SPORTS,DATA REPORT,Yes,,,,,,,,
16,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
17,NY,B-ORG,NY,B-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
18,GIANTS,I-ORG,GIANTS,I-ORG,SPORTS,DATA REPORT,Yes,,,,,,,,
19,5,O,5,O,SPORTS,DATA REPORT,Yes,,,,,,,,
20,8,O,8,O,SPORTS,DATA REPORT,Yes,,,,,,,,
21,0,O,0,O,SPORTS,DATA REPORT,Yes,,,,,,,,
22,200,O,200,O,SPORTS,DATA REPORT,Yes,,,,,,,,
23,250,O,250,O,SPORTS,DATA REPORT,Yes,,,,,,,,
24,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
25,CENTRAL,B-MISC,CENTRAL,B-MISC,SPORTS,DATA REPORT,Yes,,,,,,,,
26,DIVISION,I-MISC,DIVISION,I-MISC,SPORTS,DATA REPORT,Yes,,,,,,,,
27,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
28,W,O,W,O,SPORTS,DATA REPORT,Yes,,,,,,,,
29,L,O,L,O,SPORTS,DATA REPORT,Yes,,,,,,,,
30,T,O,T,O,SPORTS,DATA REPORT,Yes,,,,,,,,
31,PF,O,PF,O,SPORTS,DATA REPORT,Yes,,,,,,,,
32,PA,O,PA,O,SPORTS,DATA REPORT,Yes,,,,,,,,
33,,,,,SPORTS,DATA REPORT,Yes,,,,,,,,
34,Y,O,Y,O,SPORTS,DATA REPORT,Yes,,,,,,,,
